window,count
"(datetime.time(0, 0), datetime.time(1, 30))",0
"(datetime.time(0, 5), datetime.time(1, 35))",1
"(datetime.time(0, 10), datetime.time(1, 40))",1
"(datetime.time(0, 15), datetime.time(1, 45))",2
"(datetime.time(0, 20), datetime.time(1, 50))",2
"(datetime.time(0, 25), datetime.time(1, 55))",2
"(datetime.time(0, 30), datetime.time(2, 0))",2
"(datetime.time(0, 35), datetime.time(2, 5))",2
"(datetime.time(0, 40), datetime.time(2, 10))",2
"(datetime.time(0, 45), datetime.time(2, 15))",2
"(datetime.time(0, 50), datetime.time(2, 20))",2
"(datetime.time(0, 55), datetime.time(2, 25))",2
"(datetime.time(1, 0), datetime.time(2, 30))",2
"(datetime.time(1, 5), datetime.time(2, 35))",2
"(datetime.time(1, 10), datetime.time(2, 40))",2
"(datetime.time(1, 15), datetime.time(2, 45))",2
"(datetime.time(1, 20), datetime.time(2, 50))",2
"(datetime.time(1, 25), datetime.time(2, 55))",2
"(datetime.time(1, 30), datetime.time(3, 0))",2
"(datetime.time(1, 35), datetime.time(3, 5))",1
"(datetime.time(1, 40), datetime.time(3, 10))",1
"(datetime.time(1, 45), datetime.time(3, 15))",0
"(datetime.time(1, 50), datetime.time(3, 20))",0
"(datetime.time(1, 55), datetime.time(3, 25))",0
"(datetime.time(2, 0), datetime.time(3, 30))",0
"(datetime.time(2, 5), datetime.time(3, 35))",0
"(datetime.time(2, 10), datetime.time(3, 40))",0
"(datetime.time(2, 15), datetime.time(3, 45))",1
"(datetime.time(2, 20), datetime.time(3, 50))",1
"(datetime.time(2, 25), datetime.time(3, 55))",1
"(datetime.time(2, 30), datetime.time(4, 0))",1
"(datetime.time(2, 35), datetime.time(4, 5))",1
"(datetime.time(2, 40), datetime.time(4, 10))",1
"(datetime.time(2, 45), datetime.time(4, 15))",1
"(datetime.time(2, 50), datetime.time(4, 20))",1
"(datetime.time(2, 55), datetime.time(4, 25))",1
"(datetime.time(3, 0), datetime.time(4, 30))",1
"(datetime.time(3, 5), datetime.time(4, 35))",2
"(datetime.time(3, 10), datetime.time(4, 40))",2
"(datetime.time(3, 15), datetime.time(4, 45))",2
"(datetime.time(3, 20), datetime.time(4, 50))",2
"(datetime.time(3, 25), datetime.time(4, 55))",2
"(datetime.time(3, 30), datetime.time(5, 0))",2
"(datetime.time(3, 35), datetime.time(5, 5))",2
"(datetime.time(3, 40), datetime.time(5, 10))",2
"(datetime.time(3, 45), datetime.time(5, 15))",1
"(datetime.time(3, 50), datetime.time(5, 20))",1
"(datetime.time(3, 55), datetime.time(5, 25))",1
"(datetime.time(4, 0), datetime.time(5, 30))",1
"(datetime.time(4, 5), datetime.time(5, 35))",2
"(datetime.time(4, 10), datetime.time(5, 40))",2
"(datetime.time(4, 15), datetime.time(5, 45))",2
"(datetime.time(4, 20), datetime.time(5, 50))",2
"(datetime.time(4, 25), datetime.time(5, 55))",2
"(datetime.time(4, 30), datetime.time(6, 0))",2
"(datetime.time(4, 35), datetime.time(6, 5))",1
"(datetime.time(4, 40), datetime.time(6, 10))",1
"(datetime.time(4, 45), datetime.time(6, 15))",1
"(datetime.time(4, 50), datetime.time(6, 20))",1
"(datetime.time(4, 55), datetime.time(6, 25))",1
"(datetime.time(5, 0), datetime.time(6, 30))",1
"(datetime.time(5, 5), datetime.time(6, 35))",1
"(datetime.time(5, 10), datetime.time(6, 40))",1
"(datetime.time(5, 15), datetime.time(6, 45))",1
"(datetime.time(5, 20), datetime.time(6, 50))",1
"(datetime.time(5, 25), datetime.time(6, 55))",1
"(datetime.time(5, 30), datetime.time(7, 0))",1
"(datetime.time(5, 35), datetime.time(7, 5))",0
"(datetime.time(5, 40), datetime.time(7, 10))",0
"(datetime.time(5, 45), datetime.time(7, 15))",0
"(datetime.time(5, 50), datetime.time(7, 20))",0
"(datetime.time(5, 55), datetime.time(7, 25))",0
"(datetime.time(6, 0), datetime.time(7, 30))",0
"(datetime.time(6, 5), datetime.time(7, 35))",0
"(datetime.time(6, 10), datetime.time(7, 40))",0
"(datetime.time(6, 15), datetime.time(7, 45))",0
"(datetime.time(6, 20), datetime.time(7, 50))",0
"(datetime.time(6, 25), datetime.time(7, 55))",0
"(datetime.time(6, 30), datetime.time(8, 0))",0
"(datetime.time(6, 35), datetime.time(8, 5))",0
"(datetime.time(6, 40), datetime.time(8, 10))",1
"(datetime.time(6, 45), datetime.time(8, 15))",1
"(datetime.time(6, 50), datetime.time(8, 20))",1
"(datetime.time(6, 55), datetime.time(8, 25))",1
"(datetime.time(7, 0), datetime.time(8, 30))",1
"(datetime.time(7, 5), datetime.time(8, 35))",3
"(datetime.time(7, 10), datetime.time(8, 40))",3
"(datetime.time(7, 15), datetime.time(8, 45))",3
"(datetime.time(7, 20), datetime.time(8, 50))",3
"(datetime.time(7, 25), datetime.time(8, 55))",3
"(datetime.time(7, 30), datetime.time(9, 0))",3
"(datetime.time(7, 35), datetime.time(9, 5))",4
"(datetime.time(7, 40), datetime.time(9, 10))",4
"(datetime.time(7, 45), datetime.time(9, 15))",4
"(datetime.time(7, 50), datetime.time(9, 20))",4
"(datetime.time(7, 55), datetime.time(9, 25))",4
"(datetime.time(8, 0), datetime.time(9, 30))",4
"(datetime.time(8, 5), datetime.time(9, 35))",4
"(datetime.time(8, 10), datetime.time(9, 40))",3
"(datetime.time(8, 15), datetime.time(9, 45))",3
"(datetime.time(8, 20), datetime.time(9, 50))",3
"(datetime.time(8, 25), datetime.time(9, 55))",3
"(datetime.time(8, 30), datetime.time(10, 0))",3
"(datetime.time(8, 35), datetime.time(10, 5))",1
"(datetime.time(8, 40), datetime.time(10, 10))",1
"(datetime.time(8, 45), datetime.time(10, 15))",2
"(datetime.time(8, 50), datetime.time(10, 20))",2
"(datetime.time(8, 55), datetime.time(10, 25))",2
"(datetime.time(9, 0), datetime.time(10, 30))",2
"(datetime.time(9, 5), datetime.time(10, 35))",1
"(datetime.time(9, 10), datetime.time(10, 40))",1
"(datetime.time(9, 15), datetime.time(10, 45))",1
"(datetime.time(9, 20), datetime.time(10, 50))",1
"(datetime.time(9, 25), datetime.time(10, 55))",1
"(datetime.time(9, 30), datetime.time(11, 0))",1
"(datetime.time(9, 35), datetime.time(11, 5))",1
"(datetime.time(9, 40), datetime.time(11, 10))",1
"(datetime.time(9, 45), datetime.time(11, 15))",1
"(datetime.time(9, 50), datetime.time(11, 20))",1
"(datetime.time(9, 55), datetime.time(11, 25))",1
"(datetime.time(10, 0), datetime.time(11, 30))",1
"(datetime.time(10, 5), datetime.time(11, 35))",1
"(datetime.time(10, 10), datetime.time(11, 40))",1
"(datetime.time(10, 15), datetime.time(11, 45))",0
"(datetime.time(10, 20), datetime.time(11, 50))",0
"(datetime.time(10, 25), datetime.time(11, 55))",0
"(datetime.time(10, 30), datetime.time(12, 0))",0
"(datetime.time(10, 35), datetime.time(12, 5))",0
"(datetime.time(10, 40), datetime.time(12, 10))",0
"(datetime.time(10, 45), datetime.time(12, 15))",1
"(datetime.time(10, 50), datetime.time(12, 20))",2
"(datetime.time(10, 55), datetime.time(12, 25))",2
"(datetime.time(11, 0), datetime.time(12, 30))",3
"(datetime.time(11, 5), datetime.time(12, 35))",3
"(datetime.time(11, 10), datetime.time(12, 40))",3
"(datetime.time(11, 15), datetime.time(12, 45))",3
"(datetime.time(11, 20), datetime.time(12, 50))",3
"(datetime.time(11, 25), datetime.time(12, 55))",3
"(datetime.time(11, 30), datetime.time(13, 0))",3
"(datetime.time(11, 35), datetime.time(13, 5))",3
"(datetime.time(11, 40), datetime.time(13, 10))",3
"(datetime.time(11, 45), datetime.time(13, 15))",3
"(datetime.time(11, 50), datetime.time(13, 20))",3
"(datetime.time(11, 55), datetime.time(13, 25))",3
"(datetime.time(12, 0), datetime.time(13, 30))",3
"(datetime.time(12, 5), datetime.time(13, 35))",3
"(datetime.time(12, 10), datetime.time(13, 40))",3
"(datetime.time(12, 15), datetime.time(13, 45))",2
"(datetime.time(12, 20), datetime.time(13, 50))",1
"(datetime.time(12, 25), datetime.time(13, 55))",1
"(datetime.time(12, 30), datetime.time(14, 0))",0
"(datetime.time(12, 35), datetime.time(14, 5))",0
"(datetime.time(12, 40), datetime.time(14, 10))",0
"(datetime.time(12, 45), datetime.time(14, 15))",0
"(datetime.time(12, 50), datetime.time(14, 20))",0
"(datetime.time(12, 55), datetime.time(14, 25))",0
"(datetime.time(13, 0), datetime.time(14, 30))",0
"(datetime.time(13, 5), datetime.time(14, 35))",0
"(datetime.time(13, 10), datetime.time(14, 40))",0
"(datetime.time(13, 15), datetime.time(14, 45))",0
"(datetime.time(13, 20), datetime.time(14, 50))",0
"(datetime.time(13, 25), datetime.time(14, 55))",0
"(datetime.time(13, 30), datetime.time(15, 0))",0
"(datetime.time(13, 35), datetime.time(15, 5))",0
"(datetime.time(13, 40), datetime.time(15, 10))",0
"(datetime.time(13, 45), datetime.time(15, 15))",0
"(datetime.time(13, 50), datetime.time(15, 20))",0
"(datetime.time(13, 55), datetime.time(15, 25))",0
"(datetime.time(14, 0), datetime.time(15, 30))",0
"(datetime.time(14, 5), datetime.time(15, 35))",0
"(datetime.time(14, 10), datetime.time(15, 40))",0
"(datetime.time(14, 15), datetime.time(15, 45))",0
"(datetime.time(14, 20), datetime.time(15, 50))",0
"(datetime.time(14, 25), datetime.time(15, 55))",0
"(datetime.time(14, 30), datetime.time(16, 0))",0
"(datetime.time(14, 35), datetime.time(16, 5))",0
"(datetime.time(14, 40), datetime.time(16, 10))",0
"(datetime.time(14, 45), datetime.time(16, 15))",0
"(datetime.time(14, 50), datetime.time(16, 20))",0
"(datetime.time(14, 55), datetime.time(16, 25))",0
"(datetime.time(15, 0), datetime.time(16, 30))",0
"(datetime.time(15, 5), datetime.time(16, 35))",0
"(datetime.time(15, 10), datetime.time(16, 40))",0
"(datetime.time(15, 15), datetime.time(16, 45))",0
"(datetime.time(15, 20), datetime.time(16, 50))",0
"(datetime.time(15, 25), datetime.time(16, 55))",0
"(datetime.time(15, 30), datetime.time(17, 0))",0
"(datetime.time(15, 35), datetime.time(17, 5))",0
"(datetime.time(15, 40), datetime.time(17, 10))",0
"(datetime.time(15, 45), datetime.time(17, 15))",0
"(datetime.time(15, 50), datetime.time(17, 20))",0
"(datetime.time(15, 55), datetime.time(17, 25))",0
"(datetime.time(16, 0), datetime.time(17, 30))",0
"(datetime.time(16, 5), datetime.time(17, 35))",0
"(datetime.time(16, 10), datetime.time(17, 40))",0
"(datetime.time(16, 15), datetime.time(17, 45))",1
"(datetime.time(16, 20), datetime.time(17, 50))",1
"(datetime.time(16, 25), datetime.time(17, 55))",2
"(datetime.time(16, 30), datetime.time(18, 0))",2
"(datetime.time(16, 35), datetime.time(18, 5))",2
"(datetime.time(16, 40), datetime.time(18, 10))",2
"(datetime.time(16, 45), datetime.time(18, 15))",2
"(datetime.time(16, 50), datetime.time(18, 20))",2
"(datetime.time(16, 55), datetime.time(18, 25))",2
"(datetime.time(17, 0), datetime.time(18, 30))",2
"(datetime.time(17, 5), datetime.time(18, 35))",3
"(datetime.time(17, 10), datetime.time(18, 40))",3
"(datetime.time(17, 15), datetime.time(18, 45))",3
"(datetime.time(17, 20), datetime.time(18, 50))",3
"(datetime.time(17, 25), datetime.time(18, 55))",3
"(datetime.time(17, 30), datetime.time(19, 0))",3
"(datetime.time(17, 35), datetime.time(19, 5))",3
"(datetime.time(17, 40), datetime.time(19, 10))",3
"(datetime.time(17, 45), datetime.time(19, 15))",2
"(datetime.time(17, 50), datetime.time(19, 20))",2
"(datetime.time(17, 55), datetime.time(19, 25))",1
"(datetime.time(18, 0), datetime.time(19, 30))",1
"(datetime.time(18, 5), datetime.time(19, 35))",1
"(datetime.time(18, 10), datetime.time(19, 40))",1
"(datetime.time(18, 15), datetime.time(19, 45))",1
"(datetime.time(18, 20), datetime.time(19, 50))",1
"(datetime.time(18, 25), datetime.time(19, 55))",1
"(datetime.time(18, 30), datetime.time(20, 0))",1
"(datetime.time(18, 35), datetime.time(20, 5))",0
"(datetime.time(18, 40), datetime.time(20, 10))",0
"(datetime.time(18, 45), datetime.time(20, 15))",0
"(datetime.time(18, 50), datetime.time(20, 20))",0
"(datetime.time(18, 55), datetime.time(20, 25))",0
"(datetime.time(19, 0), datetime.time(20, 30))",0
"(datetime.time(19, 5), datetime.time(20, 35))",0
"(datetime.time(19, 10), datetime.time(20, 40))",0
"(datetime.time(19, 15), datetime.time(20, 45))",0
"(datetime.time(19, 20), datetime.time(20, 50))",0
"(datetime.time(19, 25), datetime.time(20, 55))",0
"(datetime.time(19, 30), datetime.time(21, 0))",0
"(datetime.time(19, 35), datetime.time(21, 5))",0
"(datetime.time(19, 40), datetime.time(21, 10))",0
"(datetime.time(19, 45), datetime.time(21, 15))",0
"(datetime.time(19, 50), datetime.time(21, 20))",0
"(datetime.time(19, 55), datetime.time(21, 25))",0
"(datetime.time(20, 0), datetime.time(21, 30))",0
"(datetime.time(20, 5), datetime.time(21, 35))",0
"(datetime.time(20, 10), datetime.time(21, 40))",0
"(datetime.time(20, 15), datetime.time(21, 45))",0
"(datetime.time(20, 20), datetime.time(21, 50))",0
"(datetime.time(20, 25), datetime.time(21, 55))",0
"(datetime.time(20, 30), datetime.time(22, 0))",0
"(datetime.time(20, 35), datetime.time(22, 5))",1
"(datetime.time(20, 40), datetime.time(22, 10))",1
"(datetime.time(20, 45), datetime.time(22, 15))",1
"(datetime.time(20, 50), datetime.time(22, 20))",1
"(datetime.time(20, 55), datetime.time(22, 25))",1
"(datetime.time(21, 0), datetime.time(22, 30))",1
"(datetime.time(21, 5), datetime.time(22, 35))",1
"(datetime.time(21, 10), datetime.time(22, 40))",1
"(datetime.time(21, 15), datetime.time(22, 45))",1
"(datetime.time(21, 20), datetime.time(22, 50))",1
"(datetime.time(21, 25), datetime.time(22, 55))",1
"(datetime.time(21, 30), datetime.time(23, 0))",1
"(datetime.time(21, 35), datetime.time(23, 5))",1
"(datetime.time(21, 40), datetime.time(23, 10))",1
"(datetime.time(21, 45), datetime.time(23, 15))",1
"(datetime.time(21, 50), datetime.time(23, 20))",1
"(datetime.time(21, 55), datetime.time(23, 25))",1
"(datetime.time(22, 0), datetime.time(23, 30))",1
"(datetime.time(22, 5), datetime.time(23, 35))",0
"(datetime.time(22, 10), datetime.time(23, 40))",0
"(datetime.time(22, 15), datetime.time(23, 45))",0
"(datetime.time(22, 20), datetime.time(23, 50))",0
"(datetime.time(22, 25), datetime.time(23, 55))",0
"(datetime.time(22, 30), datetime.time(0, 0))",0
